Comment,Description,Designator,Footprint,LibRef,Pins
"10nf,%1,25V",贴片电容,C1,0603,,2
"27pF,%1,25V",贴片电容,C2,0603,,2
"27pF,%1,25V",贴片电容,C3,0603,,2
"0.1u,%1,25V",贴片电容,C4,0603,,2
"0.1u,%1,25V",贴片电容,C5,0603,,2
"0.1u,%1,25V",贴片电容,C6,0603,,2
"0.1u,%1,25V",贴片电容,C7,0603,,2
"0.1u,%1,25V",贴片电容,C8,0603,,2
"4.7u,%1,25V",贴片电容,C9,0603,,2
"4.7u,%1,25V",贴片电容,C10,0603,,2
"0.1u,%1,25V",贴片电容,C11,0603,,2
"0.1u,%1,25V",贴片电容,C12,0603,,2
"10n,%1,25V",贴片电容,C13,0603,,2
"4.7u,%1,25V",贴片电容,C14,0603,,2
"100n,%1,25V",贴片电容,C15,0603,,2
"100n,%1,25V",贴片电容,C16,0603,,2
"0.1u,%1,25V",贴片电容,C17,0603,,2
"0.1u,%1,25V",贴片电容,C18,0603,,2
"0.1u,%1,25V",贴片电容,C19,0603,,2
"0.1u,%1,25V",贴片电容,C20,0603,,2
"0.1u,%1,25V",贴片电容,C21,0603,,2
"0.1u,%1,25V",贴片电容,C22,0603,,2
"0.1u,%1,25V",贴片电容,C23,0603,,2
"0.1u,%1,25V",贴片电容,C24,0603,,2
"1n,%1,25V",贴片电容,C25,0603,,2
"0.1u,%1,25V",贴片电容,C26,0603,,2
"0.1u,%1,25V",贴片电容,C28,0603,,2
"0.1u,%1,25V",贴片电容,C29,0603,,2
"0.1u,%1,25V",贴片电容,C30,0603,,2
"0.1u,%1,25V",贴片电容,C31,0603,,2
"10u,%1,25V",贴片电容,C32,0603,,2
"10n,%1,25V",贴片电容,C33,0603,,2
"0.1u,%1,25V",贴片电容,C34,0603,,2
"10u,%1,25V",贴片电容,C35,0603,,2
"10n,%1,25V",贴片电容,C36,0603,,2
"1u,%1,25V",贴片电容,C37,0603,,2
"1u,%1,25V",贴片电容,C38,0603,,2
"0.1u,%1,25V",贴片电容,C39,0603,,2
"10u,%1,25V",贴片电容,C40,0603,,2
"0.1u,%1,25V",贴片电容,C41,0603,,2
600R/0.5A,贴片磁珠,FB1,0805,,2
600R/0.5A,贴片磁珠,FB2,0805,,2
600R/0.5A,贴片磁珠,FB3,0805,,2
600R/0.5A,贴片磁珠,FB4,0805,,2
"12k ,%1",贴片电阻,R1,0805,,2
"10k ,%1",贴片电阻,R2,0805,,2
"0 ,%1",贴片电阻,R3,0805,,2
"0 ,%1",贴片电阻,R4,0805,,2
"0 ,%1",贴片电阻,R5,0805,,2
"1k ,%1",贴片电阻,R6,0805,,2
"49.9 ,%1",贴片电阻,R7,0805,,2
"24.9 ,%1",贴片电阻,R8,0805,,2
"220 ,%1",贴片电阻,R9,0805,,2
"0 ,%1",贴片电阻,R10,0805,,2
